loan_id,pd_score,risk_decile,credit_decision,scored_at,model_version
LOAN_000000,0.18115935,1,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000006,0.33504444,2,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000013,0.2673539,1,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000021,0.7856909,8,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000030,0.64942765,5,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000036,0.38333902,2,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000040,0.78383,8,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000057,0.8773556,10,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000061,0.67811286,5,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000076,0.44394082,3,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000085,0.8475268,10,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000105,0.78268456,8,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000106,0.82644194,9,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000107,0.25367105,1,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000117,0.7605073,7,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000120,0.49549562,4,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000126,0.84817505,10,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000133,0.84344256,9,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000139,0.45640638,3,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000142,0.33302748,2,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000146,0.4050482,2,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000148,0.8046864,8,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000160,0.5505318,4,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000172,0.83512944,9,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000177,0.6600841,5,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000179,0.8355176,9,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000184,0.7779491,8,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000186,0.78704447,8,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000193,0.38884178,2,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000195,0.75509495,7,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000198,0.8403174,9,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000204,0.5980063,5,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000218,0.7621736,7,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000241,0.7348558,6,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000243,0.8577481,10,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000244,0.2722348,1,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000246,0.87945473,10,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000254,0.70108974,6,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000263,0.70924735,6,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000266,0.55352277,4,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000278,0.434462,3,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000279,0.43002725,3,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000291,0.7049577,6,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000308,0.4918163,3,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000309,0.7914669,8,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000331,0.4977111,4,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000332,0.3485933,2,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000345,0.76831603,7,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000348,0.76458937,7,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000355,0.61385876,5,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000359,0.40014523,2,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000363,0.73080856,6,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000365,0.7126584,6,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000391,0.82281595,9,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000395,0.26733214,1,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000401,0.5940431,5,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000408,0.51757103,4,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000411,0.86916727,10,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000418,0.8113519,9,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000428,0.7665549,7,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000432,0.45691508,3,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000440,0.32268766,2,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000453,0.75764704,7,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000457,0.45134807,3,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000485,0.41596806,3,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000490,0.87333894,10,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000509,0.7924003,8,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000520,0.74211484,7,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000527,0.8677088,10,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000532,0.3970093,2,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000538,0.7905458,8,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000548,0.30037534,1,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000566,0.74877816,7,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000568,0.2829254,1,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000569,0.32715443,2,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000584,0.5596213,4,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000587,0.26913837,1,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000588,0.7842942,8,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000594,0.5723151,4,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000595,0.66441023,5,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000611,0.6962279,6,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000616,0.8191247,9,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000624,0.3443656,2,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000625,0.65047336,5,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000632,0.7163465,6,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000642,0.58533514,4,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000648,0.7112614,6,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000662,0.82963663,9,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000673,0.53129023,4,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000674,0.7221021,6,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000708,0.67831475,5,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000718,0.7968025,8,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000721,0.5407379,4,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000722,0.435669,3,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000735,0.85597545,10,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000741,0.58563554,4,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000754,0.32046342,1,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000759,0.76691186,7,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000760,0.5050506,4,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000762,0.6483182,5,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000769,0.6608031,5,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000774,0.6722584,5,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000800,0.40143135,2,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000814,0.76873976,7,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000820,0.27608785,1,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000857,0.72124565,6,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000861,0.87218827,10,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000864,0.83264107,9,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000866,0.34990188,2,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000878,0.61838365,5,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000885,0.89381593,10,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000888,0.7558221,7,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000889,0.74050677,7,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000890,0.48113555,3,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000896,0.36239934,2,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000911,0.89721686,10,DECLINE,2025-12-24T11:54:53.152877,v1.0
LOAN_000912,0.6572033,5,DECLINE,2025-12-24T11:54:53.152877,v1.0
